Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 10,Coverage (%) 11,Coverage (%) 12,Coverage (%) 1,Coverage (%) 2,Coverage (%) 3,Coverage (%) 4,Coverage (%) 5,Coverage (%) 6,Coverage (%) 7,Coverage (%) 8,Coverage (%) 9,Area 10_hf,Area 11_im,Area 12_if,Area 1_hm,Area 2_hf,Area 3_im,Area 4_if,Area 5_hm,Area 6_hf,Area 7_im,Area 8_if,Area 9_hm,#Peptides,#Unique,#Spec 10,#Spec 11,#Spec 12,#Spec 1,#Spec 2,#Spec 3,#Spec 4,#Spec 5,#Spec 6,#Spec 7,#Spec 8,#Spec 9,PTM,Avg. Mass,Description
27,13,A0A0P4WJV7|A0A0P4WJV7_SCYOL,297.05,56,39,33,44,32,30,40,31,28,33,27,40,31,2.83E+04,2.01E+04,4.75E+04,6.23E+03,4.32E+03,3.29E+04,4.60E+03,2.46E+04,8.80E+03,1.64E+04,5.76E+04,6.84E+03,127,15,145,124,184,121,115,182,134,106,107,89,159,92,Carbamidomethylation; Deamidation (NQ),277605,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
74,27142,A0A5Q1L311|A0A5Q1L311_PROCL,279.92,44,30,25,31,24,24,31,25,20,23,19,30,21,6.26E+03,9.24E+03,1.56E+04,1.50E+03,5.70E+03,1.04E+04,3.80E+03,6.68E+03,1.15E+04,5.67E+03,9.24E+03,6.57E+03,100,3,104,98,141,99,97,150,111,74,80,64,121,72,Carbamidomethylation; Deamidation (NQ),279608,Spectrin alpha chain-like protein (Fragment) OS=Procambarus clarkii OX=6728 GN=spta1 PE=2 SV=1
103,16,A0A0P4W573|A0A0P4W573_SCYOL,276.76,50,25,25,29,22,21,32,23,20,22,14,35,17,4.07E+04,7.39E+04,8.34E+04,4.86E+04,2.80E+04,7.55E+04,6.25E+04,3.50E+04,7.46E+04,3.26E+04,1.02E+05,2.07E+04,103,34,75,81,113,83,67,115,88,69,98,54,124,60,Carbamidomethylation; Deamidation (NQ),269428,Spectrin beta chain OS=Scylla olivacea OX=85551 PE=3 SV=1
103,17,A0A0P4W742|A0A0P4W742_SCYOL,276.76,50,25,25,29,22,21,32,23,20,22,14,34,17,4.07E+04,7.39E+04,8.34E+04,4.86E+04,2.80E+04,7.55E+04,6.25E+04,3.50E+04,7.46E+04,3.26E+04,1.02E+05,2.07E+04,103,34,75,81,113,83,67,115,88,69,98,54,124,60,Carbamidomethylation; Deamidation (NQ),270142,Spectrin beta chain OS=Scylla olivacea OX=85551 PE=3 SV=1
103,18,A0A0P4W750|A0A0P4W750_SCYOL,276.76,48,24,24,28,21,21,31,22,20,21,14,33,16,4.07E+04,7.39E+04,8.34E+04,4.86E+04,2.80E+04,7.55E+04,6.25E+04,3.50E+04,7.46E+04,3.26E+04,1.02E+05,2.07E+04,103,34,75,81,113,83,67,115,88,69,98,54,124,60,Carbamidomethylation; Deamidation (NQ),277877,Spectrin beta chain OS=Scylla olivacea OX=85551 PE=3 SV=1
1,1,A0A0A6ZD98|A0A0A6ZD98_ERISI,273.48,67,45,44,21,30,51,46,28,63,47,51,53,46,1.50E+06,7.83E+05,1.17E+05,9.62E+05,9.31E+05,5.60E+05,4.55E+05,2.25E+06,1.09E+06,5.88E+05,1.64E+06,1.00E+06,61,50,306,225,73,276,457,221,246,616,315,366,608,379,Carbamidomethylation; Oxidation (M); Deamidation (NQ),79091,Cryptocyanin OS=Eriocheir sinensis OX=95602 PE=2 SV=1
171,27148,A0A423U089|A0A423U089_PENVA,256.87,32,16,17,20,13,13,21,16,15,13,8,21,9,7.67E+03,1.16E+04,2.08E+04,6.53E+03,6.43E+03,9.85E+03,1.28E+04,3.42E+03,1.30E+04,2.71E+03,9.68E+03,8.05E+03,73,7,51,57,79,53,44,80,66,50,64,32,87,30,Carbamidomethylation; Deamidation (NQ),284158,Spectrin beta chain OS=Penaeus vannamei OX=6689 GN=C7M84_024728 PE=3 SV=1
375,130,A0A286RQB8|A0A286RQB8_ERISI,251,27,20,0,0,0,8,0,1,0,21,0,0,0,8.37E+03,,,,8.14E+02,,,,2.09E+04,,,,61,5,154,2,0,0,30,0,4,0,100,0,0,0,Carbamidomethylation; Deamidation (NQ),288096,Vitellogenin 1 OS=Eriocheir sinensis OX=95602 GN=Vtg1 PE=2 SV=1
395,144,R9RZN5|R9RZN5_ERISI,249.64,28,19,0,0,0,7,0,1,0,20,0,0,0,,,,,,,,,4.67E+03,,,,61,2,132,2,0,0,28,0,4,0,102,0,0,0,Carbamidomethylation; Deamidation (NQ),287391,Vitellogenin OS=Eriocheir sinensis OX=95602 PE=2 SV=1
191,15,A0A0P4VYA7|A0A0P4VYA7_SCYOL,247.83,48,30,29,31,19,20,40,13,31,16,22,42,27,6.79E+03,6.89E+03,2.49E+04,4.92E+04,2.00E+04,2.92E+04,2.95E+04,1.32E+04,,,2.83E+04,2.83E+03,46,4,64,52,82,32,36,82,41,45,30,33,89,43,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),97761,Alpha-1 4 glucan phosphorylase OS=Scylla olivacea OX=85551 PE=3 SV=1
